"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"EQP-A-MAIN","China","OEW",5840254.942672,5840254.942672,5840254.942672
"EQP-A-MAIN","China","TEW",381077.3066424,381077.3066424,381077.3066424
"EQP-A-MAIN","Colombia","BECCS",915362.38783824,76280.19898652,2288405.9695956
"EQP-A-MAIN","Colombia","DAC",2581366.245327,2581366.245327,2581366.245327
"EQP-A-MAIN","Colombia","OEW",384228.4448168,384228.4448168,384228.4448168
"EQP-A-MAIN","Colombia","TEW",11996.93233774,11996.93233774,11996.93233774
"EQP-A-MAIN","EU-12","BECCS",1432594.96458732,119382.91371561,3581487.4114683
"EQP-A-MAIN","EU-12","DAC",2731299.996429,2731299.996429,2731299.996429
"EQP-A-MAIN","EU-12","OEW",529507.513671,529507.513671,529507.513671
"EQP-A-MAIN","EU-12","TEW",89168.52834632,89168.52834632,89168.52834632
"EQP-A-MAIN","EU-15","BECCS",8255378.4419292,687948.2034941,20638446.104823
"EQP-A-MAIN","EU-15","DAC",13910480.34417,13910480.34417,13910480.34417
"EQP-A-MAIN","EU-15","OEW",2776855.383118,2776855.383118,2776855.383118
"EQP-A-MAIN","EU-15","TEW",213095.031848,213095.031848,213095.031848
"EQP-A-MAIN","Europe_Eastern","BECCS",647191.5340458,53932.62783715,1617978.8351145
"EQP-A-MAIN","Europe_Eastern","DAC",1769934.619521,1769934.619521,1769934.619521
"EQP-A-MAIN","Europe_Eastern","OEW",362057.611003,362057.611003,362057.611003
"EQP-A-MAIN","Europe_Eastern","TEW",76039.28464054,76039.28464054,76039.28464054
"EQP-A-MAIN","Europe_Non_EU","BECCS",1455817.90133148,121318.15844429,3639544.7533287
"EQP-A-MAIN","Europe_Non_EU","DAC",4866510.686847,4866510.686847,4866510.686847
"EQP-A-MAIN","Europe_Non_EU","OEW",1063334.9242242,1063334.9242242,1063334.9242242
"EQP-A-MAIN","Europe_Non_EU","TEW",80813.89406982,80813.89406982,80813.89406982
"EQP-A-MAIN","European Free Trade Association","BECCS",457425.9539976,38118.8294998,1143564.884994
"EQP-A-MAIN","European Free Trade Association","DAC",380841.297789,380841.297789,380841.297789
"EQP-A-MAIN","European Free Trade Association","OEW",75146.129512,75146.129512,75146.129512
"EQP-A-MAIN","European Free Trade Association","TEW",3182.90084832,3182.90084832,3182.90084832
"EQP-A-MAIN","India","BECCS",28989042.335928,2415753.527994,72472605.83982
"EQP-A-MAIN","India","DAC",58120990.45611,58120990.45611,58120990.45611
"EQP-A-MAIN","India","OEW",14001190.95984,14001190.95984,14001190.95984
"EQP-A-MAIN","India","TEW",585097.8028076,585097.8028076,585097.8028076
"EQP-A-MAIN","Indonesia","BECCS",5053966.6289472,421163.8857456,12634916.572368
"EQP-A-MAIN","Indonesia","DAC",7892636.592195,7892636.592195,7892636.592195
"EQP-A-MAIN","Indonesia","OEW",1934103.572948,1934103.572948,1934103.572948
"EQP-A-MAIN","Indonesia","TEW",113660.8850018,113660.8850018,113660.8850018
